name,instance,run_id,test_incremental/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_government-political_party/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_government-government/macro_types/f1,threshold_incremental,threshold_pretraining,test_incremental/micro/f1,test_pretraining/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test/micro/f1,test_incremental/macro_example/recall,test_incremental_government-political_party/macro_types/recall,test_incremental/macro_example_exclusive/precision,epoch,test/micro/recall,test/macro_example/f1,test/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_example/recall,test/macro_types/f1,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental_government-political_party/macro_types/precision,test/macro_example/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_government-government/macro_types/recall,test_pretraining/micro/recall,test_pretraining/micro/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/recall,test_incremental/macro_types/recall,test/macro_types/recall,test_incremental_government/macro_types/precision,test_pretraining/macro_types/recall,test_incremental_government/macro_types/recall,test_incremental_government/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example/f1,test/macro_example/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_government-government/macro_types/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,4jrgal7o,0.9528796076774596,0.8931818008422852,0.8888888955116272,0.9534884095191956,0.030619345605373383,0.8867924809455872,0.01,0.25,0.9357326626777648,0.8930996656417847,0.9147865772247314,0.95231431722641,0.9166666269302368,0.9242982864379884,0.9488795399665833,0.8930996656417847,0.031663186848163605,0.931818187236786,0.9595959186553956,33,0.8807517886161804,0.9147865772247314,0.892532229423523,0.8543152213096619,0.030619345605373383,0.8543152213096619,0.9316967129707336,0.8888888955116272,0.03305497765541077,0.976190447807312,0.9242982864379884,0.9201886653900146,0.892532229423523,0.8545454740524292,0.8807517886161804,0.9057987332344056,0.8888888955116272,0.9462365508079528,0.8888888955116272,0.9191918969154358,0.9119529128074646,0.8192366361618042,0.9591836929321288,0.8192366361618042,0.9494949579238892,0.9543147087097168,0.9191918969154358,0.032344114035367966,0.9054685831069946,0.9054685831069946,0.030619345605373383,0.9057987332344056,0.9389594793319702,0.9215686321258544
no_init_box_kenn_top_down_adapter_bert_ms,2,6w4jgjh7,0.9494949579238892,0.9545454978942872,0.9494949579238892,0.9777777791023254,0.03270702809095383,0.9174312353134156,0.02,0.25,0.9494949579238892,0.8937287926673889,0.9150385856628418,0.9472104907035828,0.944723665714264,0.9241243600845336,0.9412238597869872,0.8937287926673889,0.03270702809095383,1.0,0.9898989796638488,33,0.8820479512214661,0.9150385856628418,0.8922320008277893,0.855483889579773,0.03270702809095383,0.855483889579773,0.9500278234481812,0.9494949579238892,0.03409881889820099,0.95652174949646,0.9241243600845336,0.9478378891944884,0.8922320008277893,0.9090909361839294,0.8820479512214661,0.9057231545448304,0.9494949579238892,0.9399999976158142,0.9494949579238892,0.9494949579238892,0.9528619647026062,0.821643054485321,0.9591836929321288,0.821643054485321,0.9494949579238892,0.9543147087097168,0.9494949579238892,0.033388424664735794,0.9061297178268432,0.9061297178268432,0.03270702809095383,0.9057231545448304,0.9692760705947876,0.92592591047287
no_init_box_kenn_bottom_up_adapter_bert_ms,2,ojmw9t2n,0.9528796076774596,0.8931818008422852,0.8888888955116272,0.9534884095191956,0.030619345605373383,0.8867924809455872,0.01,0.25,0.9357326626777648,0.8930996656417847,0.9147865772247314,0.95231431722641,0.9166666269302368,0.9242982864379884,0.9488795399665833,0.8930996656417847,0.031663186848163605,0.931818187236786,0.9595959186553956,31,0.8807517886161804,0.9147865772247314,0.892532229423523,0.8543152213096619,0.030619345605373383,0.8543152213096619,0.9316967129707336,0.8888888955116272,0.03305497765541077,0.976190447807312,0.9242982864379884,0.9201886653900146,0.892532229423523,0.8545454740524292,0.8807517886161804,0.9057987332344056,0.8888888955116272,0.9462365508079528,0.8888888955116272,0.9191918969154358,0.9119529128074646,0.8192366361618042,0.9591836929321288,0.8192366361618042,0.9494949579238892,0.9543147087097168,0.9191918969154358,0.032344114035367966,0.9054685831069946,0.9054685831069946,0.030619345605373383,0.9057987332344056,0.9389594793319702,0.9215686321258544
no_init_box_kenn_hybrid_adapter_bert_ms,1,uuv1je4e,0.9642857313156128,0.6909090876579285,0.6868686676025391,0.8421052694320679,0.023660404607653614,0.7741934657096863,0.17,0.25,0.8852458596229553,0.8909630179405212,0.9135608673095704,0.9688507318496704,0.8047336935997009,0.9245012998580932,0.9736841917037964,0.8909630179405212,0.028183717280626297,0.7272727489471436,0.9494949579238892,22,0.8764311671257019,0.9135608673095704,0.8935049772262573,0.8504229187965393,0.023660404607653614,0.8504229187965393,0.8624484539031982,0.6868686676025391,0.03270702809095383,1.0,0.9245012998580932,0.8082782030105591,0.8935049772262573,0.6545454263687134,0.8764311671257019,0.9059848189353944,0.6868686676025391,0.9714285731315612,0.6868686676025391,0.8181818127632141,0.777104377746582,0.8113043308258057,0.9591836929321288,0.8113043308258057,0.9494949579238892,0.9543147087097168,0.8181818127632141,0.03027736395597458,0.9028763771057128,0.9028763771057128,0.023660404607653614,0.9059848189353944,0.8789610266685486,0.9473684430122375
no_init_box_kenn_top_down_adapter_bert_ms,1,5n7xky61,0.8651162981987,0.9363636374473572,0.9292929172515868,0.8461538553237915,0.032011136412620544,0.8571428656578064,0.01,0.25,0.9007264375686646,0.891632080078125,0.9138094782829284,0.8448741436004639,0.8518518805503845,0.921920657157898,0.7877193093299866,0.891632080078125,0.032359082251787186,1.0,0.9898989796638488,35,0.8816158771514893,0.9138094782829284,0.8862122297286987,0.8523228764533997,0.032011136412620544,0.8523228764533997,0.8902339935302734,0.9292929172515868,0.03409881889820099,0.7333333492279053,0.921920657157898,0.8556337356567383,0.8862122297286987,0.8727272748947144,0.8816158771514893,0.9018784761428832,0.9292929172515868,0.7863247990608215,0.9292929172515868,0.939393937587738,0.9407407641410828,0.820930004119873,0.9591836929321288,0.820930004119873,0.9494949579238892,0.9543147087097168,0.939393937587738,0.03320618346333504,0.905839741230011,0.905839741230011,0.032011136412620544,0.9018784761428832,0.9639854431152344,0.8421052694320679
no_init_box_kenn_bottom_up_adapter_bert_ms,1,v5v9exn0,0.9655172228813172,0.7590909004211426,0.7474746704101562,0.9268292784690856,0.025748087093234066,0.7741934657096863,0.19,0.25,0.903225839138031,0.8916932344436646,0.9139021635055542,0.9688507318496704,0.8457142114639282,0.9245012998580932,0.9736841917037964,0.8916932344436646,0.02922755852341652,0.8636363744735718,0.9797980189323424,34,0.8777273893356323,0.9139021635055542,0.8935049772262573,0.8518895506858826,0.025748087093234066,0.8518895506858826,0.8897315263748169,0.747474730014801,0.03375086933374405,1.0,0.9245012998580932,0.853099524974823,0.8935049772262573,0.6545454263687134,0.8777273893356323,0.9061106443405152,0.747474730014801,0.9736841917037964,0.747474730014801,0.8484848737716675,0.8225589990615845,0.8139781355857849,0.9591836929321288,0.8139781355857849,0.9494949579238892,0.9543147087097168,0.8484848737716675,0.0313267707824707,0.9035432934761048,0.9035432934761048,0.025748087093234066,0.9061106443405152,0.9094257950782776,0.9473684430122375
no_init_box_kenn_hybrid_adapter_bert_ms,0,l2u6xvyi,0.950276255607605,0.7886363863945007,0.7878787517547607,0.8860759735107422,0.027139876037836075,0.8349514603614807,0.01,0.25,0.9076517820358276,0.8918860554695129,0.9140256643295288,0.9516723155975342,0.8571429252624512,0.9244142770767212,0.9479166269302368,0.8918860554695129,0.02992345206439495,0.7954545617103577,0.9494949579238892,35,0.8785914778709412,0.9140256643295288,0.8924944400787354,0.8520634174346924,0.027139876037836075,0.8520634174346924,0.8936273455619812,0.7878788113594055,0.03270702809095383,1.0,0.9244142770767212,0.8609717488288879,0.8924944400787354,0.7818182110786438,0.8785914778709412,0.9055889844894408,0.7878787517547607,0.9397590160369872,0.7878787517547607,0.868686854839325,0.8422559499740601,0.8151367902755737,0.9591836929321288,0.8151367902755737,0.9494949579238892,0.9543147087097168,0.8686869144439697,0.031253382563591,0.9038680195808412,0.9038680195808412,0.027139876037836075,0.9055889844894408,0.9072952270507812,0.8958333134651184
no_init_box_kenn_top_down_adapter_bert_ms,0,squpqgcx,0.9453551769256592,0.8022726774215698,0.7979798316955566,0.9024389982223512,0.027487821877002716,0.8235294222831726,0.03,0.25,0.9081364870071412,0.8919097185134888,0.9139703512191772,0.9421616792678832,0.8586956262588501,0.9242402911186218,0.9336506128311156,0.8919097185134888,0.03009742498397827,0.8409090638160706,0.9595959186553956,22,0.878807544708252,0.9139703512191772,0.8919349908828735,0.8521002531051636,0.027487821877002716,0.8521002531051636,0.894455075263977,0.7979797720909119,0.03305497765541077,0.9736841917037964,0.9242402911186218,0.8629902005195618,0.8919349908828735,0.7636363506317139,0.878807544708252,0.9054084420204164,0.7979798316955566,0.929411768913269,0.7979798316955566,0.8737373948097229,0.8513468503952026,0.8156715631484985,0.9591836929321288,0.8156715631484985,0.9494949579238892,0.9543147087097168,0.8737373948097229,0.03150694817304611,0.9039260149002076,0.9039260149002076,0.027487821877002716,0.9054084420204164,0.9146562218666076,0.8936170339584351
no_init_box_kenn_bottom_up_adapter_bert_ms,0,kf0tqoli,0.949438214302063,0.7590909004211426,0.7575757503509521,0.8717948794364929,0.026096034795045853,0.8118812441825867,0.03,0.25,0.8989362120628357,0.8915213346481323,0.9138418436050416,0.9501627683639526,0.8379887938499451,0.9244142770767212,0.945652186870575,0.8915213346481323,0.02940153144299984,0.7727272510528564,0.9494949579238892,35,0.8779433965682983,0.9138418436050416,0.89240562915802,0.8513895869255066,0.026096034795045853,0.8513895869255066,0.8817682862281799,0.7575757503509521,0.03270702809095383,1.0,0.9244142770767212,0.8421632051467896,0.89240562915802,0.7454545497894287,0.8779433965682983,0.9055258631706238,0.7575757503509521,0.9375,0.7575757503509521,0.8535353541374207,0.8225589394569397,0.8139781951904297,0.9591836929321288,0.8139781951904297,0.9494949579238892,0.9543147087097168,0.8535353541374207,0.030966317281126976,0.903508484363556,0.903508484363556,0.026096034795045853,0.9055258631706238,0.89896160364151,0.8913043737411499
no_init_box_kenn_horizontal_adapter_bert_ms,2,ckvwttm9,0.9510869383811952,0.8227273225784302,0.8181818127632141,0.9156627058982848,0.028183717280626297,0.843137264251709,0.01,0.25,0.916230320930481,0.8922502994537354,0.9144165515899658,0.9494787454605104,0.8756756782531738,0.9242982864379884,0.9446263313293456,0.8922502994537354,0.030445372685790065,0.8636363744735718,0.9494949579238892,33,0.879239559173584,0.9144165515899658,0.8923654556274414,0.8527343273162842,0.028183717280626297,0.8527343273162842,0.9052636623382568,0.8181818127632141,0.03270702809095383,0.9743589758872986,0.9242982864379884,0.8794729709625244,0.8923654556274414,0.7818182110786438,0.879239559173584,0.9056519865989684,0.8181818127632141,0.9418604373931884,0.8181818127632141,0.8838383555412292,0.8649832606315613,0.8164737224578857,0.9591836929321288,0.8164737224578857,0.9494949579238892,0.9543147087097168,0.8838383555412292,0.03153569996356964,0.9047437310218812,0.9047437310218812,0.028183717280626297,0.9056519865989684,0.9154910445213318,0.914893627166748
