name,instance,run_id,test/micro/f1,test/micro/precision,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/precision,test_pretraining/micro/precision,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/f1,test/macro_types/precision,test_incremental_ORGANIZATION/macro_types/precision,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/recall,test/macro_example/f1,threshold_pretraining,test_pretraining/macro_example/f1,test/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental/macro_types/recall,test_incremental_only/micro/precision,epoch,test_incremental/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/micro/f1,test_incremental/macro_example/recall,test_incremental_ORGANIZATION-EDUCATIONAL/macro_types/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/recall,test_incremental_ORGANIZATION-RELIGIOUS/macro_types/precision,test_incremental_ORGANIZATION/macro_types/recall,test/micro/recall,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_ORGANIZATION-MUSEUM/macro_types/precision,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/precision,test_pretraining/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_ORGANIZATION-CORPORATION/macro_types/f1,test_incremental_only/micro/f1,test_incremental_only/macro_types/f1,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/recall,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental_only/micro/recall,test_incremental/micro/precision,test_pretraining/macro_types/recall,test_incremental_ORGANIZATION/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental/macro_types/precision,test_incremental_only/macro_types/precision,threshold_incremental,test/macro_types/recall,test_incremental_ORGANIZATION-MUSEUM/macro_types/recall,test_incremental_ORGANIZATION-CORPORATION/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_ORGANIZATION-MUSEUM/macro_types/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_ORGANIZATION-CORPORATION/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_ORGANIZATION-POLITICAL/macro_types/f1,test_incremental_ORGANIZATION-GOVERNMENT/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision
kenn_hybrid_adapter_bert_ms,2,2xrluzd5,0.7678983807563782,0.7196969985961914,0.32499998807907104,0.7196969985961914,0.6904761791229248,0.7134345173835754,0.8697317838668823,0.9666666388511658,0.8038152456283569,0.25,0.8038152456283569,0.7700406312942505,0.7139984369277954,0.7411962151527405,0.4293785393238067,12,0.6034722328186035,0.7768491506576538,0.3939394056797027,0.7204144597053528,0.6075757145881653,0.6725820899009705,0.17577756941318512,0.3561643660068512,0.9666666388511658,0.5370370149612427,0.9043824672698976,0.823019802570343,0.7768491506576538,0.17042790353298187,0.743027925491333,0.28431373834609985,0.47826087474823,0.7700406312942505,0.8327206969261169,0.3529411852359772,0.4943089187145233,0.5511372089385986,0.7096773982048035,0.740234375,0.823019802570343,0.5823754668235779,0.6162601709365845,0.8364033699035645,0.88671875,0.12370283156633376,0.16539427638053894,0.5089101195335388,0.4487731456756592,0.12,0.8364033699035645,0.9666666388511658,0.4761904776096344,0.5859848260879517,0.7134345173835754,0.6991367936134338,0.4393939375877381,0.5918367505073547,0.5965849161148071,0.28037384152412415,0.8327206969261169,0.7678983807563782,0.7341772317886353,0.5714285969734192,0.12598177790641785,0.12150486558675766
kenn_top_down_adapter_bert_ms,2,2dlg93e9,0.6199585199356079,0.4939405024051666,0.07734806835651398,0.4939405024051666,0.16111111640930176,0.6322174668312073,0.8697317838668823,0.9666666388511658,0.7171399593353271,0.25,0.7171399593353271,0.7224349975585938,0.7370371222496033,0.7609436511993408,0.1358828246593475,13,0.3804815113544464,0.6271531581878662,0.42424243688583374,0.7365299463272095,0.6787878274917603,0.39360639452934265,0.1830819994211197,0.13084112107753754,0.9333333373069764,0.08787878602743149,0.9043824672698976,0.8323019742965698,0.6271531581878662,0.1742403507232666,0.7739043831825256,0.1492537260055542,0.09210526198148727,0.7224349975585938,0.8372761607170105,0.3435114324092865,0.2241610735654831,0.25061723589897156,0.6774193644523621,0.76953125,0.8323019742965698,0.6398467421531677,0.2644295394420624,0.8426865935325623,0.88671875,0.13512827455997467,0.16621336340904236,0.2536565065383911,0.15097728371620178,0.15000000000000002,0.8426865935325623,1.0,0.29032257199287415,0.6266666650772095,0.6322174668312073,0.7025991678237915,0.25974026322364807,0.20895522832870483,0.6516867876052856,0.420560747385025,0.8372761607170105,0.6199585199356079,0.3414634168148041,0.1621621549129486,0.14074772596359253,0.12994030117988586
kenn_bottom_up_adapter_bert_ms,2,3htjv39c,0.7809978723526001,0.7550548911094666,0.4545454680919647,0.7550548911094666,0.9508196711540222,0.749604344367981,0.8697317838668823,0.9666666388511658,0.8072117567062378,0.25,0.8072117567062378,0.7781924605369568,0.6136946678161621,0.6552215218544006,0.5443037748336792,12,0.6384872794151306,0.7902248501777649,0.3030303120613098,0.7334931492805481,0.510606050491333,0.7049504518508911,0.16548854112625122,0.36363640427589417,0.9333333373069764,0.9354838728904724,0.9043824672698976,0.8087871074676514,0.7902248501777649,0.17352195084095,0.6995351910591125,0.3461538553237915,0.523809552192688,0.7781924605369568,0.8249450922012329,0.317880779504776,0.5180723071098328,0.5971087217330933,0.35483869910240173,0.6953125,0.8087871074676514,0.49425286054611206,0.7148594260215759,0.8090477585792542,0.88671875,0.1098802164196968,0.18237511813640592,0.6225866079330444,0.58139568567276,0.19,0.8090477585792542,0.8999999761581421,0.5454545617103577,0.5507575869560242,0.749604344367981,0.7709163427352905,0.5,0.6829268336296082,0.529922366142273,0.22429905831813812,0.8249450922012329,0.7809978723526001,0.7887323498725891,0.42307692766189575,0.10587495565414427,0.11420043557882308
kenn_hybrid_adapter_bert_ms,1,3uxe4902,0.7892536520957947,0.7623990774154663,0.3214285671710968,0.7623990774154663,0.920634925365448,0.7547469139099121,0.8697317838668823,0.9666666388511658,0.8117276430130005,0.25,0.8117276430130005,0.7873499393463135,0.6644744277000427,0.6987470388412476,0.6000000238418579,13,0.6674023866653442,0.7953503131866455,0.27272728085517883,0.7643451690673828,0.5901514887809753,0.7324777841567993,0.173342764377594,0.2950819730758667,0.8999999761581421,0.8787878751754761,0.9043824672698976,0.8180692791938782,0.7953503131866455,0.18082059919834137,0.7327357530593872,0.4838709533214569,0.5151515007019043,0.7873499393463135,0.8287935853004456,0.42384105920791626,0.57485032081604,0.630732536315918,0.5483871102333069,0.724609375,0.8180692791938782,0.5517241358757019,0.7405189871788025,0.8228967785835266,0.88671875,0.1265413463115692,0.18897268176078796,0.6387491226196289,0.6002519130706787,0.21,0.8228967785835266,1.0,0.7272727489471436,0.6318181753158569,0.7547469139099121,0.798804759979248,0.6521738767623901,0.675000011920929,0.6102744936943054,0.29906541109085083,0.8287935853004456,0.7892536520957947,0.7714285850524902,0.53125,0.12236882746219636,0.13100847601890564
kenn_top_down_adapter_bert_ms,1,agph5hhz,0.7847427725791931,0.7514156103134155,0.203125,0.7514156103134155,0.865671694278717,0.7628006935119629,0.8697317838668823,0.9666666388511658,0.804364800453186,0.25,0.804364800453186,0.7968083024024963,0.705148458480835,0.7336104512214661,0.5477941036224365,30,0.6971052885055542,0.7797361016273499,0.3939394056797027,0.781451404094696,0.6053030490875244,0.7196171879768372,0.17514923214912417,0.2680412530899048,0.8666666746139526,0.7837837934494019,0.9043824672698976,0.8211633563041687,0.7797361016273499,0.18486738204956055,0.740371823310852,0.4054054021835327,0.7419354915618896,0.7968083024024963,0.8306000232696533,0.3916083872318268,0.5590994358062744,0.6653379797935486,0.7419354915618896,0.734375,0.8211633563041687,0.5708812475204468,0.705440878868103,0.833989679813385,0.88671875,0.13234305381774902,0.1957273036241531,0.6640608906745911,0.6297824382781982,0.27,0.833989679813385,1.0,0.7777777910232544,0.675000011920929,0.7628006935119629,0.827357292175293,0.5769230723381042,0.8666666746139526,0.6382544636726379,0.2616822421550751,0.8306000232696533,0.7847427725791931,0.8666666746139526,0.7419354915618896,0.1255105286836624,0.139962300658226
kenn_bottom_up_adapter_bert_ms,1,387vs7rc,0.799155592918396,0.779411792755127,0.4642857015132904,0.779411792755127,0.9508196711540222,0.793023407459259,0.8697317838668823,0.9666666388511658,0.8141456842422485,0.25,0.8141456842422485,0.8125869631767273,0.7020331621170044,0.7309402227401733,0.7135922312736511,29,0.7447283267974854,0.7990574836730957,0.3939394056797027,0.785356342792511,0.5962121486663818,0.7640449404716492,0.1742067188024521,0.4262295067310333,0.8666666746139526,0.9354838728904724,0.9043824672698976,0.8199257254600525,0.7990574836730957,0.18579117953777313,0.7363878488540649,0.5263158082962036,0.7666666507720947,0.8125869631767273,0.8298146724700928,0.37142854928970337,0.6295503377914429,0.7208005785942078,0.7419354915618896,0.73046875,0.8199257254600525,0.5632184147834778,0.8008565306663513,0.8331400752067566,0.88671875,0.13045237958431244,0.19902607798576355,0.7590465545654297,0.7405990362167358,0.19,0.8331400752067566,1.0,0.7878788113594055,0.6659090518951416,0.793023407459259,0.8413015007972717,0.6896551847457886,0.9629629850387572,0.6291361451148987,0.2429906576871872,0.8298146724700928,0.799155592918396,0.9122806787490844,0.7540983557701111,0.1236255019903183,0.1380772888660431
kenn_hybrid_adapter_bert_ms,0,28y2oe6o,0.7762850522994995,0.7350663542747498,0.1666666716337204,0.7350663542747498,0.9180328249931335,0.7331962585449219,0.8697317838668823,0.9333333373069764,0.8043628931045532,0.25,0.8043628931045532,0.7756869196891785,0.6663393378257751,0.700345516204834,0.48089173436164856,12,0.6291041970252991,0.7799402475357056,0.3030303120613098,0.7533727288246155,0.6189393997192383,0.695492148399353,0.1764059066772461,0.2150537669658661,0.9666666388511658,0.9032257795333862,0.9043824672698976,0.8224009871482849,0.7799402475357056,0.1782248616218567,0.7456839084625244,0.4107142984867096,0.4000000059604645,0.7756869196891785,0.830364465713501,0.4480874538421631,0.5252174139022827,0.5849210619926453,0.6451612710952759,0.73828125,0.8224009871482849,0.5785440802574158,0.6573913097381592,0.823405385017395,0.88671875,0.13023389875888824,0.18008169531822205,0.5710184574127197,0.5212329626083374,0.14,0.823405385017395,0.7666666507720947,0.5394737124443054,0.637499988079071,0.7331962585449219,0.7612217664718628,0.5348837375640869,0.707317054271698,0.6280825734138489,0.38317757844924927,0.830364465713501,0.7762850522994995,0.8169013857841492,0.4938271641731262,0.1283380538225174,0.132186621427536
kenn_top_down_adapter_bert_ms,0,399gwnzc,0.767976701259613,0.7251237034797668,0.10126582533121108,0.7251237034797668,0.888888955116272,0.7378427982330322,0.8697317838668823,0.9333333373069764,0.7955936789512634,0.25,0.7955936789512634,0.7725620269775391,0.619789719581604,0.6604458689689636,0.4338461458683014,14,0.6207873225212097,0.7669965624809265,0.24242424964904785,0.759933352470398,0.5787878632545471,0.6703096628189087,0.17208608984947205,0.1428571492433548,0.8666666746139526,0.8484848737716675,0.9043824672698976,0.8162128925323486,0.7669965624809265,0.1797768771648407,0.7274236679077148,0.25,0.6060606241226196,0.7725620269775391,0.8264058828353882,0.4406779706478119,0.48122861981391907,0.576160728931427,0.6451612710952759,0.71875,0.8162128925323486,0.540229856967926,0.6279863715171814,0.8107100129127502,0.88671875,0.1259123831987381,0.18818724155426023,0.5856218338012695,0.538270115852356,0.3,0.8107100129127502,0.6666666865348816,0.5571428537368774,0.6386363506317139,0.7378427982330322,0.7954847812652588,0.3636363744735718,0.8666666746139526,0.6072410345077515,0.3644859790802002,0.8264058828353882,0.767976701259613,0.8666666746139526,0.625,0.120012566447258,0.13242223858833313
kenn_bottom_up_adapter_bert_ms,0,8flhmwe8,0.7802132368087769,0.7482954263687134,0.10526315867900848,0.7482954263687134,0.9655172228813172,0.7474405169487,0.8697317838668823,0.9333333373069764,0.8041865825653076,0.25,0.8041865825653076,0.7775264382362366,0.6176846027374268,0.6586413979530334,0.5225563645362854,13,0.6364931464195251,0.7835263013839722,0.1818181872367859,0.7538148760795593,0.5696969628334045,0.7045236229896545,0.1711435616016388,0.13333332538604736,0.9333333373069764,1.0,0.9043824672698976,0.8149752616882324,0.7835263013839722,0.17832940816879272,0.7234395742416382,0.4878048896789551,0.5128205418586731,0.7775264382362366,0.8259660005569458,0.4327485263347626,0.5275142192840576,0.594752311706543,0.6451612710952759,0.71484375,0.8149752616882324,0.532567024230957,0.6944971680641174,0.8101359009742737,0.88671875,0.12178097665309906,0.1861451417207718,0.6157860159873962,0.5734617710113525,0.19,0.8101359009742737,0.6666666865348816,0.578125,0.6060606241226196,0.7474405169487,0.7868525981903076,0.563380241394043,0.7567567825317383,0.5873164534568787,0.3457943797111511,0.8259660005569458,0.7802132368087769,0.8358209133148193,0.5714285373687744,0.11812754720449448,0.12566760182380676
box_adapter_bert_ms,2,1v5bag9d,0.6028265357017517,0.4971864819526672,0.625,0.4971864819526672,0.025196850299835205,0.6564379930496216,0.8357664346694946,0.2666666805744171,0.6125856637954712,0.175,0.6125856637954712,0.680483877658844,0.2599877119064331,0.35318243503570557,0.06906614452600479,14,0.3110710680484772,0.49896323680877686,0.1515151560306549,0.6060313582420349,0.2446969747543335,0.33076077699661255,0.13988375663757324,0.2439024448394775,0.2666666805744171,0.013223140500485895,0.912350594997406,0.7654703259468079,0.49896323680877686,0.1433684080839157,0.591301441192627,0.1118421033024788,0.0,0.680483877658844,0.793213963508606,0.30841121077537537,0.11016291379928587,0.2161480337381363,0.0,0.5859375,0.7654703259468079,0.27203065156936646,0.2304147481918335,0.7063583135604858,0.8723810315132141,0.05771566182374954,0.14703109860420227,0.27793213725090027,0.1849597543478012,0.99,0.7063583135604858,0.5666666626930237,0.30841121077537537,0.3227272629737854,0.6564379930496216,0.6215139627456665,0.18681319057941437,0.05128205195069313,0.2783468961715698,0.30841121077537537,0.793213963508606,0.6028265357017517,0.08602151274681091,NaN,0.050738297402858734,0.06691800057888031
